X,Y,POINT_ID,X_COORD,Y_COORD
-111.815264595265234,33.407341806221297,AA18,424257.000000,3696543.000000
-111.823671654332102,33.315792250029375,AA20,423395.000000,3686399.000000
-111.871645998540657,33.219288815439462,Z23,418840.000000,3675736.000000
-111.920423365947855,33.674060859840111,Y10,414741.000000,3726197.000000
-111.928809924094054,33.825722546256905,Y6,414115.000000,3743020.000000
-111.986793403522512,33.738264300196072,W9,408656.301022,3733372.572990
-111.831559366856411,33.722792223544545,AA9,423022.457809,3731530.328939
-111.654930690066749,33.394518837903242,AE18,439157.000000,3695016.000000
-111.616000553329329,33.358070008387273,AF19,442753.590518,3690952.857230
-111.626692538608253,33.218608020284918,AE23,441666.000000,3675497.000000
-111.992441800441966,33.523877972912572,W15,407905.000000,3709607.000000
-112.054778644045882,33.55218760694089,V14,402148.000000,3712803.000000
-112.036748577236182,33.657699419294687,V11,403939.000000,3724485.000000
-112.102902007229545,33.550609312787905,T14,397678.574183,3712674.501591
-112.11135512265723,33.500396088628307,T15,396834.154365,3707115.381935
-112.09064820221009,33.40128601207681,U18,398642.330046,3696106.088959
-112.163138597617476,33.637851787982861,S11,392195.000000,3722409.000000
-112.220750725715973,33.651031839036243,R11,386869.000000,3723932.000000
-112.225530340589927,33.591812793260587,R13,386348.000000,3717371.000000
-112.205921135856869,33.520249151703595,R15,388075.307474,3709414.717616
-111.867339237472166,33.345944984875985,Z20,419358.000000,3689775.000000
-111.851414012726437,33.308969052580501,Z21,420806.422664,3685663.246923
-112.059721033551327,33.319181458910876,U21,401425.859394,3686973.147150
-111.80072055217542,33.452135093709742,AA17,425647.652607,3701498.800675
-111.778848347117659,33.414268217525311,AB18,427649.000000,3697285.000000
-111.773679050122055,33.35171748867981,AB19,428078.110436,3690346.385437
-111.785055052984859,33.336743391421834,AB20,427007.109366,3688694.125024
-111.959992972061698,33.425592744693496,X17,410817.635319,3698681.342810
-111.894845757390272,33.414314921987852,Y18,416863.562349,3697376.934274
-111.875505748462672,33.400986888257862,Z18,418649.378167,3695883.928002
-112.30206258897023,33.599598735932538,P13,379257.000000,3718321.000000
-112.333586774656467,33.658720677515504,O11,376416.451283,3724913.829429
-112.159021444229083,33.374841609045539,S19,392251.153764,3693242.779449
-112.198706101636517,33.418739777382015,R18,388615.497435,3698151.838277
-112.256579389108282,33.506394426692303,Q15,383351.980746,3707934.355857
-112.303978052447988,33.482119799506357,P16,378915.437721,3705297.108621
-112.046895826642455,33.470547561903352,V16,402788.478947,3703743.657183
-112.08716272980412,33.469517790214702,ENC,399045.571471,3703667.915266
-112.07141292994001,33.478762880615896,U16,400519.679924,3704677.765608
-112.06930262099425,33.508335015896613,U15,400749.529834,3707954.585856
-111.939740929273455,33.478928262072017,X16,412753.926174,3704577.646762
