thesaurus,keyword,type
LTER controlled vocabulary,urban,theme
LTER controlled vocabulary,birds,theme
LTER controlled vocabulary,species abundance,theme
LTER controlled vocabulary,species composition,theme
LTER controlled vocabulary,communities,theme
LTER controlled vocabulary,community composition,theme
LTER core areas,population studies,theme
LTER core areas,adapting to city life,theme
LTER core areas,parks and rivers,theme
Creator Defined Keyword Set,aves,theme
Creator Defined Keyword Set,avifauna,theme
CAPLTER Keyword Set List,cap lter,theme
CAPLTER Keyword Set List,cap,theme
CAPLTER Keyword Set List,caplter,theme
CAPLTER Keyword Set List,central arizona phoenix long term ecological research,theme
CAPLTER Keyword Set List,arizona,place
CAPLTER Keyword Set List,az,place
CAPLTER Keyword Set List,arid land,theme
